top - 11:53:40 up 1 day, 16:19,  1 user,  load average: 0.00, 0.00, 0.00
Tasks: 284 total,   1 running, 283 sleeping,   0 stopped,   0 zombie
Cpu(s):  2.3%us,  0.3%sy,  0.0%ni, 97.1%id,  0.2%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    63.047G total,   14.542G used,   48.505G free,  215.719M buffers
Swap: 8015.996M total,    0.000k used, 8015.996M free,   11.964G cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                 
 8266 root      20   0 15156 1264  840 R  2.0  0.0   0:00.01 top                                                                     
 2802 root      20   0 66288 1240  504 S  0.0  0.0   0:00.02 sshd                                                                    
 3628 rtkit     21   1  164m 1232 1020 S  0.0  0.0   0:03.53 rtkit-daemon                                                            
23373 root      18  -2 11228 1228  308 S  0.0  0.0   0:00.00 udevd                                                                   
 2435 haldaemo  20   0 18004 1152  984 S  0.0  0.0   0:00.00 hald-addon-acpi                                                         
23396 root      20   0 21672  992  388 S  0.0  0.0   0:00.00 rpc.mountd                                                              
 3558 gdm       20   0 21564  968  612 S  0.0  0.0   0:00.01 dbus-daemon                                                             
 2215 rpc       20   0 18980  952  696 S  0.0  0.0   0:00.24 rpcbind                                                                 
 2351 root      20   0 45000  860  540 S  0.0  0.0   0:00.00 wpa_supplicant                                                          
 2122 root      16  -4 29764  852  604 S  0.0  0.0   0:01.39 auditd                                                                  
 3557 gdm       20   0 20060  852  556 S  0.0  0.0   0:00.00 dbus-launch                                                             
 2197 root      20   0 18392  788  480 S  0.0  0.0   0:09.80 irqbalance                                                              
 8268 root      20   0 98.6m  780  656 S  0.0  0.0   0:00.00 mpstat                                                                  
 2972 root      20   0  105m  724  568 S  0.0  0.0   0:00.00 rhsmcertd                                                               
 2370 root      20   0  4076  640  528 S  0.0  0.0   0:00.00 acpid                                                                   
23443 root      20   0 23100  636  392 S  0.0  0.0   0:00.00 rpc.idmapd                                                              
 3003 root      20   0  4060  596  508 S  0.0  0.0   0:00.00 mingetty                                                                
 3006 root      20   0  4060  596  508 S  0.0  0.0   0:00.00 mingetty                                                                
 3008 root      20   0  4060  596  508 S  0.0  0.0   0:00.00 mingetty                                                                
 3012 root      20   0  4060  596  508 S  0.0  0.0   0:00.00 mingetty                                                                
 3014 root      20   0  4060  588  508 S  0.0  0.0   0:00.00 mingetty                                                                
 2955 root      20   0 21104  500  308 S  0.0  0.0   0:00.00 atd                                                                     
23391 root      20   0  104m  280  136 S  0.0  0.0   0:00.00 rpc.rquotad                                                             
    2 root      20   0     0    0    0 S  0.0  0.0   0:00.00 kthreadd                                                                
    3 root      RT   0     0    0    0 S  0.0  0.0   0:00.47 migration/0                                                             
    4 root      20   0     0    0    0 S  0.0  0.0   0:06.88 ksoftirqd/0                                                             
    5 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/0                                                               
    6 root      RT   0     0    0    0 S  0.0  0.0   0:00.20 watchdog/0                                                              
    7 root      RT   0     0    0    0 S  0.0  0.0   0:01.02 migration/1                                                             
    8 root      RT   0     0    0    0 S  0.0  0.0   0:00.00 stopper/1                                                               
    9 root      20   0     0    0    0 S  0.0  0.0   0:00.45 ksoftirqd/1                                                             
   10 root      RT   0     0    0    0 S  0.0  0.0   0:00.18 watchdog/1                                                              
   11 root      RT   0     0    0    0 S  0.0  0.0   0:00.19 migration/2                                                             
